epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.32,0,110.131,0,0,0,0,0,0,6604.27,0,0.000539324,0.000539324,0.000539324
2,268.817,0,85.8335,0,0,0,0,0,0,98.5474,0,0.000878182,0.000878182,0.000878182
3,401.722,0,75.6777,0,0,0,0,0,0,10234.2,0,0.000996997,0.000996997,0.000996997
4,534.793,0,68.1124,0,0,0,0,0,0,89.4891,0,0.000676802,0.000676802,0.000676802
5,666.723,0,63.3278,0,0,0,0,0,0,92.3849,0,0.000346736,0.000346736,0.000346736
